word,phonetic,translation,tag,exchange
emolument,i'mɒljumәnt,"n. 薪水, 报酬",toefl gre,s:emoluments
emote,i'mәut,"vi. 装模作样, 表现感情",gre,i:emoting/3:emotes/p:emoted/d:emoted
emotion,i'mәuʃәn,"n. 情绪, 激动, 强烈的情感\n[医] 情绪, 情感",cet4 cet6 ky toefl ielts,s:emotions
emotional,i'mәuʃәnәl,"a. 情绪的, 情感的\n[医] 情绪的",cet4 cet6 toefl,
empathy,'empæθik,"n. 移情作用, 共鸣\n[医] 移情, 神入",gre,s:empathies
emperor,'empәrә,"n. 皇帝, 君主",gk cet4 cet6 ky ielts,s:emperors
emphasis,'emfәsis,"n. 强调, 加强, 重点, 强语气",cet4 cet6 ky toefl,
emphasize,'emfәsaiz,"vt. 强调, 加强语气, 着重",cet4 cet6 ky toefl ielts,d:emphasized/p:emphasized/3:emphasizes/i:emphasizing
emphatic,im'fætik,"a. 语调强的, 着重的, 强调了的",toefl gre,
empire,'empaiә,"n. 帝国, 帝权",gk cet4 cet6 ky,s:empires
empirical,em'pirikәl,"a. 完全跟据经验的, 经验主义的\n[医] 经验主义的",cet6 ky ielts gre,s:empiricals
empiricism,em'pirisizm,"n. 经验主义, 庸医的医术, 经验论\n[医] 经验[主义]医学",gre,
employ,im'plɒi,"n. 雇用\nvt. 雇用, 使用, 使从事于",gk cet4 cet6 ky toefl,d:employed/3:employs/p:employed/i:employing
employee,.emplɒi'i:,"n. 职员, 员工, 受雇人员\n[化] 职工; 雇员",cet4 cet6 ky toefl ielts,s:employees
employees,,n. 员工；雇员；从业人员（emploee的复数）,ielts,0:employee/1:s
employer,im'plɒiә,"n. 雇主, 老板\n[经] 雇主, 业主",cet4 cet6 ky toefl ielts,s:employers
employment,im'plɒimәnt,"n. 雇用, 职业, 工作\n[经] 职业, 雇用, 职工招请",cet4 cet6 ky ielts,s:employments
empower,im'pauә,"vt. 授予权力, 允许, 使能够\n[法] 授权, 准许, 转委",toefl gre,d:empowered/3:empowers/p:empowered/i:empowering/s:empowers
empty,'empti,"a. 空的, 空虚的, 空腹的, 空洞的\nn. 空的东西, 空车\nvt. 倒空, 使变空, 使排出\nvi. 流空\n[计] 空",zk gk toefl ielts,d:emptied/p:emptied/i:emptying/3:empties/s:empties/r:emptier/t:emptiest
empyreal,.empai'ri:әl,"a. 最高天的, 九天的, 苍天的",gre,
empyrean,.empai'ri:әn,"n. 最高天, 九天, 苍天",gre,
emulate,'emjuleit,"vt. 效法, 尽力赶上, 同...竞争\n[计] 仿真",toefl gre,d:emulated/i:emulating/p:emulated/3:emulates
emulsify,i'mʌlsifai,vt. 使乳化\n[医] 乳化,gre,3:emulsifies/d:emulsified/i:emulsifying/p:emulsified
enable,i'neibl,"vt. 使能够\n[计] 允许, 使能, 打开",cet4 cet6 ky toefl,3:enables/p:enabled/i:enabling/d:enabled
enact,i'nækt,"vt. 制定法律, 扮演, 颁布\n[法] 法令, 法规, 条例",toefl gre,d:enacted/p:enacted/i:enacting/3:enacts
enactment,i'næktm(ә)nt,"n. 制定, 条例, 法规, 法令, 颁布, 规定\n[法] 制定, 规定, 颁布",toefl,s:enactments
enamel,i'næml,"n. 珐琅, 瓷釉\nvt. 涂以瓷釉, 彩饰",gre,s:enamels/p:enamelled/d:enamelled/i:enamelling/3:enamels
enamored,i'næmәd,"a. 倾心于...的, 被迷住的, 迷恋的",gre,
encapsulate,in'kæpsәleit,"vt. 装入胶囊, 封进内部, 压缩\nvi. 做成胶囊",gre,d:encapsulated/3:encapsulates/p:encapsulated/i:encapsulating
encase,in'keis,"vt. 把...装入箱内, 包住",toefl,d:encased/p:encased/i:encasing/s:encases/3:encases
enchant,in'tʃænt,"vt. 施魔法, 使入迷",cet6 toefl gre,d:enchanted/p:enchanted/3:enchants/i:enchanting
encipher,in'saifә,vt. 译成密码\n[计] 编码,gre,i:enciphering/p:enciphered/3:enciphers/d:enciphered
enclose,in'klәuz,"vt. 围绕, 圈起, 放入封套, 附上",cet4 cet6 ky toefl ielts,d:enclosed/i:enclosing/p:enclosed/3:encloses
enclosure,in'klәuʒә,"n. 附件, 围墙, 围绕\n[化] 机壳; 外壳",cet6 ky toefl ielts gre,s:enclosures
encomiast,en'kәumiæst,"n. 宣读或写作颂辞之人, 赞美者, 阿谀者",gre,
encomium,en'kәumjәm,"n. 赞辞, 称赞, 赞美",gre,s:encomiums
encompass,in'kʌmpәs,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围",toefl gre,3:encompasses/i:encompassing/p:encompassed/d:encompassed
encounter,in'kauntә,"n. 相会, 相遇, 遭遇\nvt. 遇见, 邂逅, 会战\nvi. 偶然相遇",cet4 cet6 ky toefl ielts gre,d:encountered/s:encounters/p:encountered/3:encounters/i:encountering
encourage,in'kʌridʒ,"vt. 鼓励, 支持, 激励\n[法] 怂恿, 煽动, 助长",zk gk cet4 cet6 ky toefl,d:encouraged/p:encouraged/3:encourages/i:encouraging
encouragement,in'kʌridʒmәnt,"n. 鼓励, 激励, 奖励\n[法] 怂恿, 煽动, 助长",gk,s:encouragements
encroach,in'krәutʃ,"vi. 侵犯, 侵蚀, 蚕食\n[法] 侵犯, 侵入, 侵占",toefl gre,d:encroached/i:encroaching/p:encroached/3:encroaches
encumber,in'kʌmbә,"vt. 妨害, 阻塞, 拖累\n[经] 使负(债等), 负有义务",toefl gre,d:encumbered/i:encumbering/s:encumbers/p:encumbered/3:encumbers
encyclopedia,in.saiklәu'pi:diә,n. 百科全书,ky toefl ielts gre,s:encyclopedias
encyclopedic,"en,saiklәu'pi:dik","a. 如百科辞典的, 百科全书式的",gre,
end,end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余\nv. 结束, 终结, 终止\n[计] 端; 结束",zk gk ielts,p:ended/s:ends/d:ended/i:ending/3:ends
endanger,in'deindʒә,"vt. 危及\n[法] 使危险, 危及",cet6 toefl,i:endangering/d:endangered/3:endangers/p:endangered
endangered,in'deindʒәd,a. 有生命危险的；濒临灭绝的,toefl,0:endanger/1:dp/d:endangered/p:endangered
endearing,in'diәriŋ,"a. 引起爱情的, 令人钟爱的, 可爱的",gre,i:endearing/0:endearing/1:i
endeavor,in'devә,"n. 努力, 尽力\nvi. 努力, 尽力",cet6 ky toefl,s:endeavors/i:endeavoring/p:endeavored/3:endeavors/d:endeavored
endeavour,in'devә,"n. 努力, 力图, 尽力\nvi. 努力, 力图, 尽力",cet6 toefl ielts,s:endeavours/i:endeavouring/d:endeavoured/p:endeavoured/3:endeavours
endemic,en'demik,"n. 地方病\na. 某地(或某些人中)流行的, 地方的",gre,s:endemics
ending,'endiŋ,"n. 终止, 终了, 收场\n[医] 末梢",gk cet4 cet6 ky ielts,0:end/1:i/s:endings/i:ending
endless,'endlis,"a. 不停的, 无穷尽的, 无尽的\n[机] 无端的, 环状的",gk cet4 cet6 toefl,
endlessly,'endlisli,"adv. 不断地, 无穷尽地",toefl,
endorse,in'dɒ:s,"vt. 支持, 赞同, 背书于, 签署\n[经] 赞成, 背书",toefl ielts gre,d:endorsed/p:endorsed/i:endorsing/3:endorses
endotherm,'endәθә:m,n. 热血动物\n[机] 吸热线,toefl,s:endotherms
endotoxin,.endә'tɒksin,n. 内毒素\n[化] 内毒素,toefl,s:endotoxins
endow,in'dau,"vt. 捐赠, 捐助, 赋予\n[法] 赠送财产给, 分给寡妇一份遗产, 授与",cet6 ky toefl ielts gre,d:endowed/p:endowed/i:endowing/3:endows
endowment,in'daumәnt,"n. 捐助, 天赋, 才能\n[经] 捐赠, 捐款, 养老金",toefl,s:endowments
endue,in'dju:,"vt. 授予, 赋予, 穿上",toefl gre,d:endued/p:endued/i:enduing/3:endues
endurance,in'djuәrәns,"n. 忍耐, 忍耐力, 耐性\n[机] 持九性",cet6 ky toefl ielts,
endure,in'djuә,"vt. 忍受, 忍耐, 容忍, 耐\nvi. (正式)持久, 持续\n[计] 仍能工作, 继续工作",cet4 cet6 ky toefl gre,d:endured/p:endured/3:endures/i:enduring
enduring,in'djuәriŋ,"a. 持久的, 忍耐的",toefl gre,0:endure/1:i/i:enduring
enemy,'enimi,"n. 敌人, 仇敌, 敌军\na. 敌人的",zk gk cet4 ky,s:enemies
energetic,.enә'dʒetik,"a. 精力充沛的, 积极的",gk cet6 ky toefl ielts,s:energetics
energies,ˈenədʒiz,n. 活力( energy的名词复数 ); [物理学]（原子、电、辐射的）能; [常用复数]精力; （有效地发挥的）力量,ielts,0:energy/1:s
energize,'enәdʒaiz,"vt. 使活跃, 激励, 供给...能量\n[电] 激励",cet6 toefl,d:energized/i:energizing/p:energized/3:energizes
energy,'enәdʒi,"n. 精力, 精神, 活力, 能量\n[化] 能; 能量",zk cet4 cet6 ky ielts,s:energies
enervate,'enәveit,"vt. 使衰弱\na. 衰弱的, 无力的",toefl gre,d:enervated/i:enervating/p:enervated/3:enervates
enfeeble,in'fi:bl,vt. 使衰弱,gre,d:enfeebled/p:enfeebled/i:enfeebling/3:enfeebles
enfetter,in'fetә,"vt. 给...上脚镣, 束缚, 使受制于",gre,
enflame,in'fleim,v. 燃烧,gre,p:enflamed
enforce,in'fɒ:s,"vt. 强迫, 执行, 坚持\n[经] 予以强制执行",cet4 cet6 ky ielts,d:enforced/i:enforcing/p:enforced/3:enforces
engage,in'geidʒ,"vi. 答应, 从事, 交战\nvt. 使忙碌, 雇佣, 预定, 使从事于, 使参加",cet4 cet6 ky toefl ielts,d:engaged/p:engaged/i:engaging/3:engages
engaged,in'geidʒd,"a. 忙碌的, 使用中的",gre,0:engage/1:dp/d:engaged/p:engaged
engagement,in'geidʒdmәnt,"n. 诺言, 约会, 婚约, 交战\n[医] 衔接",cet6 ky ielts,s:engagements
engaging,in'geidʒiŋ,"a. 动人的, 迷人的, 有魅力的",toefl gre,0:engage/1:i/i:engaging
engender,in'dʒendә,"vt. 产生, 引起\nvi. 发生, 形成",toefl gre,d:engendered/3:engenders/p:engendered/i:engendering
engine,'endʒin,"n. 引擎, 发动机, 机车\nvt. 安装发动机于",gk cet4 cet6 ky ielts,s:engines/p:engined
engineer,.endʒi'niә,"n. 工程师, 工兵\nvt. 设计, 监造, 精明地处理, 策划",zk gk cet4 cet6 ky ielts,s:engineers/d:engineered/p:engineered/i:engineering/3:engineers
engineering,.endʒi'niәriŋ,"n. 工程学, 工程, 操纵\n[化] 机器; 机器学",cet4 cet6 ky ielts,i:engineering/0:engineering/1:i
engineers,,n. 工程师；机械师（engineer的复数）,ielts,1:s3/0:engineer
England,'iŋglәnd,"n. 英格兰\n[法] 英格兰, 英国",zk ielts,
English,'iŋgliʃ,"n. 英语\na. 英文的, 英国人的",zk gk,
Englishman,'iŋgliʃmәn,n. 英国人,cet4,s:englishmen
engrave,in'greiv,"vt. 刻上, 雕刻, 铭记",toefl ielts gre,d:engraved/p:engraved/i:engraving/s:engraves/3:engraves
engraving,in'greiviŋ,"n. 雕刻, 镌版术, 雕版",toefl,0:engrave/1:i/s:engravings/i:engraving
engross,in'grәus,"vt. 用大字体书写, 独占(市场), 使全神贯注\n[法] 正式誊写, 以大字写, 囤积",toefl ielts gre,d:engrossed/p:engrossed/i:engrossing/3:engrosses
engrossment,in'^rәjsmәnt,"n. 正式缮写的文件,专注",gre,s:engrossments
engulf,in'gʌlf,"vt. 卷入, 吸进, 吞没, 使全神贯注",toefl gre,p:engulfed/d:engulfed/i:engulfing/3:engulfs
enhance,in'hæns,"vt. 提高, 加强, 增加",cet4 cet6 ky toefl ielts gre,d:enhanced/i:enhancing/3:enhances/p:enhanced
enigma,i'nigmә,"n. 谜, 费解的事物",toefl,s:enigmas
enigmatic,.enig'mætik,"a. 费解的, 谜一般的, 高深莫测的",toefl,
enjoin,in'dʒɒin,"vt. 吩咐, 命令, 嘱咐, 禁止\n[法] 责成, 命令, 嘱咐",gre,p:enjoined/d:enjoined/3:enjoins/i:enjoining
enjoy,in'dʒɒi,"vt. 享受, 喜欢, 欣赏\n[法] 享受, 享有, 获得某种利益",zk gk,p:enjoyed/i:enjoying/d:enjoyed/3:enjoys
enjoyable,in'dʒɒiәbl,"a. 可从中得到乐趣的, 令人愉快的",gk,
enlarge,in'lɑ:dʒ,"vt. 扩大, 增大\nvi. 扩大, 详述",gk cet4 cet6 ky,d:enlarged/i:enlarging/p:enlarged/3:enlarges/s:enlarges
enlighten,in'laitn,"vt. 教育, 启发, 启蒙, 开导, 教导",cet6 ky toefl ielts gre,i:enlightening/d:enlightened/p:enlightened/3:enlightens
enlightening,,"a. 有启发作用的, 使人领悟的",gre,0:enlighten/1:i/i:enlightening
enlightenment,in'laitmәnt,"n. 启迪, 教化",toefl,s:enlightenments
enlist,in'list,"vt. 征募, 参与, 谋取\nvi. 从军, 应募, 赞助",ky toefl gre,p:enlisted/d:enlisted/i:enlisting/3:enlists
enliven,in'laivn,"vt. 使活泼, 使生动",gre,d:enlivened/p:enlivened/3:enlivens/i:enlivening
enmesh,in'meʃ,"vt. 使绊住, 使陷入",gre,d:enmeshed/p:enmeshed/i:enmeshing/3:enmeshes
enmity,'enmәti,"n. 敌意, 憎恨",toefl gre,s:enmities
ennoble,i'nәubl,"vt. 授予爵位, 使高贵",gre,d:ennobled/p:ennobled/i:ennobling/s:ennobles/3:ennobles
ennui,'ɒnwi:,"n. 倦怠, 厌倦\n[医] 厌倦",toefl gre,
enormity,i'nɒ:miti,"n. 暴行, 极恶, 巨大\n[法] 重罪, 大罪, 暴行",toefl gre,s:enormities
enormous,i'nɒ:mәs,"a. 巨大的, 庞大的",cet4 cet6 ky toefl ielts gre,
enough,i'nʌf,"n. 充足, 够, 很多\na. 充足的, 足够\nadv. 足够\ninterj. 够了",zk gk,
enquire,in'kwaiә,v. 询问,ky ielts,p:enquired/i:enquiring/d:enquired/3:enquires
enquiry,in'kwaiәri,"n. 询问\n[经] 询价, 询盘",gk ielts,s:enquiries
enrage,in'reidʒ,"vt. 激怒, 使暴怒",toefl gre,d:enraged/p:enraged/i:enraging/3:enrages
enrapture,in'ræptʃә,vt. 使狂喜,toefl gre,d:enraptured/p:enraptured/i:enrapturing/3:enraptures
enrich,in'ritʃ,"vt. 使富足, 使肥沃",cet6 ky toefl ielts,d:enriched/i:enriching/3:enriches/p:enriched
enroll,in'rәul,"vt. 登记, 使加入\nvi. 参军, 注册",cet4 cet6 ky toefl ielts,i:enrolling/p:enrolled/3:enrols/d:enrolled
enrollment,in'rәulmәnt,"n. 登记, 注册, 入伍\n[经] 登记, 注册",ielts,
enrolment,in'rәulmәnt,"n. 登记, 注册, 入伍, 入学, 入会, 注册人数, 入学人数",ielts,s:enrolments
ensconce,in'skɒns,"vt. 安顿下来, 安置, 使隐藏",gre,d:ensconced/p:ensconced/i:ensconcing/3:ensconces
ensemble,ɒn'sɒŋblә,"n. 全体, 合唱曲, (女人的)全套服装\n[化] 总体; 整体; 系综",toefl ielts gre,s:ensembles
enshrine,in'ʃrain,"vt. 入庙祀奉, 铭记",gre,d:enshrined/3:enshrines/i:enshrining/p:enshrined/s:enshrines
ensign,'ensain,"n. 旗, 海军少尉, 徽章",gre,s:ensigns/3:ensigns
enslave,in'sleiv,"vt. 奴役, 束缚, 使受控制, 征服",toefl gre,d:enslaved/i:enslaving/p:enslaved/3:enslaves
ensnare,in'snєә,"vt. 以陷阱捕捉, 诱入圈套, 诱捕",gre,d:ensnared/3:ensnares/p:ensnared/i:ensnaring
ensue,en'su:,"vi. 跟着发生, 继起\nvt. 追求",cet6 ielts gre,p:ensued/3:ensues/d:ensued/i:ensuing
ensure,in'ʃuә,"vt. 确定, 保证, 担保, 保护\n[经] 确保, 确定",cet4 cet6 ky gre,i:ensuring/3:ensures/p:ensured/d:ensured
entail,in'teil,"vt. 使成为必需, 需要, 使承担, 遗传给\nn. 限定继承",cet6 ky toefl ielts gre,3:entails/p:entailed/d:entailed/i:entailing
entangle,in'tæŋgl,"vt. 使纠缠, 卷入, 使混乱",toefl ielts gre,d:entangled/i:entangling/3:entangles/p:entangled
entanglement,in'tæŋglmәnt,"n. 纠缠, 卷入, 缠绕物\n[化] 缠结",toefl,s:entanglements
enter,'entә,"vt. 进入, 参加, 开始, 输入, 回车\nvi. 进去, 参加\n[计] 输入, 回车",zk gk cet4 ky,p:entered/d:entered/i:entering/3:enters
enterprise,'entәpraiz,"n. 企业, 事业心, 进取心, 干事业\n[计] 企业",gk cet6 ky toefl ielts gre,s:enterprises
enterprising,'entәpraiziŋ,"a. 有魄力的, 有进取心的, 有事业心的",toefl,
entertain,.entә'tein,"vt. 娱乐, 招待, 怀抱\nvi. 款待",cet4 cet6 ky toefl,d:entertained/p:entertained/i:entertaining/3:entertains
entertainer,.entә'teinә,"n. 表演娱乐节目的人, 演艺人员",toefl,s:entertainers
entertainment,.entә'teinmәnt,"n. 娱乐, 款待, 娱乐表演",gk cet4 cet6 ky toefl ielts,s:entertainments
enthral,in'θrɔ:l,"vt. 迷住, 奴役, 使做奴隶, 吸引住",toefl,d:enthralled/p:enthralled/i:enthralling/3:enthrals
enthrall,in'θrɒ:l,"vt. 迷惑, 奴役, 迷住",toefl gre,3:enthralls/i:enthralling/p:enthralled/d:enthralled
enthralling,in'θrɒ:liŋ,a. 迷人的,gre,0:enthral/1:i
enthusiasm,in'θju:ziæzәm,"n. 巨大的热情, 热心",cet4 cet6 ky toefl ielts,s:enthusiasms
enthusiastic,in.θju:zi'æstik,"a. 狂热的, 热心的, 热烈的",gk cet4 cet6 ky ielts,
enthusiastically,in.θju:zi'æstikli,"adv. 热心地, 狂热地",toefl,
entice,in'tais,"vt. 诱骗, 引诱, 怂恿",toefl gre,d:enticed/i:enticing/p:enticed/3:entices
entire,in'taiә,"n. 整个, 全部\na. 全体的, 完全的, 全部的",gk cet4 cet6 ky,
entirety,in'taiәti,"n. 全部, 整体\n[法] 共有制, 整体, 全部",gre,
entitle,in'taitl,"vt. 给...权利, 取名为, 给予名称, 叫做\n[法] 给...权利, 使有资格, 称呼",cet4 cet6 ky toefl ielts gre,d:entitled/3:entitles/p:entitled/i:entitling
entitled,in'taitld,a. 有资格的；给与名称的,toefl,0:entitle/1:dp
entity,'entiti,"n. 实体, 实存物, 存在\n[计] 实体",cet6 ky toefl ielts gre,s:entities
entourage,",ɔntu'rɑ:ʒ","n. 全体随行人员, 陪同人员",gre,s:entourages
entrance,'entrәns,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任\nvt. 使出神, 使入迷\n[计] 入口",gk cet4 cet6 ky toefl ielts gre,s:entrances/d:entranced/p:entranced/i:entrancing/3:entrances
entrancing,'entrәnsiŋ,"a. 使人神魂颠倒的, 使人入神的, 令人欣喜的",gre,0:entrance/1:i/i:entrancing
entrap,in'træp,"vt. 骗入, 诱捕, 使陷入",toefl,d:entrapped/p:entrapped/i:entrapping/3:entraps
entreat,in'tri:t,"v. 恳求, 乞求",cet6 ielts gre,p:entreated/d:entreated/i:entreating/3:entreats
entreaty,in'tri:ti,"n. 恳求, 乞求",gre,s:entreaties
entrench,in'trentʃ,"vt. 围以壕沟, 防护, 保卫, 使处于牢固地位\nvi. 掘壕, 侵犯",gre,d:entrenched/p:entrenched/i:entrenching/3:entrenches
entrenched,,"a. 牢固的, 根深蒂固的",toefl,0:entrench/1:dp/d:entrenched/p:entrenched
entrepreneur,.ɒntrәprә'nә:,"n. 企业家, 主办人\n[经] 承包商, 企业家",cet6 ky toefl ielts gre,s:entrepreneurs
entrust,in'trʌst,"vt. 信托, 交托, 委托\n[经] 委托",gre,d:entrusted/p:entrusted/i:entrusting/3:entrusts
entry,'entri,"n. 登录, 条目, 进入, 入口, 报关\n[计] 登录项, 输入项, 条目",gk cet4 cet6 ky toefl ielts gre,s:entries
entwine,in'twain,"v. (使)缠住, (使)盘绕, (使)纠缠",gre,p:entwined/d:entwined/i:entwining/3:entwines
enumerate,i'nju:mәreit,"vt. 列举, 计算, 枚举, 数\n[法] 举出, 列举, 枚举",toefl gre,d:enumerated/i:enumerating/3:enumerates/p:enumerated
enunciate,i'nʌnsieit,"vt. 明确地叙述, 表明\nvi. 发音",toefl gre,d:enunciated/p:enunciated/i:enunciating/3:enunciates
envelop,in'velәp,"vt. 包封, 遮盖, 包围\nn. 信封",toefl,d:enveloped/p:enveloped/i:enveloping/3:envelops
envelope,'envәlәup,"n. 信封, 封套, 封袋\n[医] 膜, 包袋",gk cet4 cet6 ky,s:envelopes/3:envelopes
envious,'enviәs,"a. 嫉妒的, 羡慕的",cet6,
environ,in'vaiәrәn,"vt. 包围, 环绕",gre,d:environed/i:environing/p:environed/3:environs
environment,in'vairәnmәnt,"n. 环境, 外界, 围绕\n[计] 环境",zk gk cet4 cet6 ky ielts,s:environments
environmental,in.vaiәrәn'mentәl,"a. 周围的, 环境的\n[经] 环境的, 环保的",cet6 ielts,
environs,in'vaiәrәnz,"n. 市郊, 郊外",gre,s:environs/0:environs/1:s
envisage,in'vizidʒ,"vt. 面对, 正视, 想象",cet6 ky ielts gre,d:envisaged/p:envisaged/3:envisages/i:envisaging
envision,in'viʒәn,"vt. 想象, 预想",toefl gre,d:envisioned/p:envisioned/3:envisions/i:envisioning
envoy,'envɒi,"n. 外交使节, 特使\n[法] 使者, 代表, 使节",toefl,s:envoys
envy,'envi,"n. 羡慕, 嫉妒\nvt. 羡慕, 嫉妒",gk cet4 cet6 ky ielts,p:envied/d:envied/i:envying/3:envies/s:envies
enzyme,'enzaim,n. 酶\n[化] 酶,toefl ielts gre,s:enzymes
epaulet,'epәlet,"n. 肩章, 肩饰",gre,s:epaulets
ephemeral,i'femәrәl,"a. 朝生暮死的, 短命的, 短暂的\n[医] 暂时的",toefl ielts gre,s:ephemerals
epic,'epik,"n. 史诗, 叙事诗\na. 史诗的, 叙事诗的",toefl gre,s:epics
epicure,'epi.kjuә,"n. 美食家, 讲究饮食的人",gre,
epicurean,.epikju'ri:әn,"n. 享乐主义者, 美食家\na. 贪口福的, 享乐主义的",gre,
epidemic,.epi'demik,"n. 传染病, 流行病\na. 流行的, 传染性的",cet6 ky toefl ielts gre,s:epidemics
epidermis,.epi'dә:mis,"n. 表皮, (昆虫的)真皮\n[医] 表皮",toefl gre,
epigram,'epigræm,"n. 警句, 讽刺短诗",gre,s:epigrams
epilogue,'epilɒg,"n. 结语, 尾声, 收场白\n[计] 收尾程序",gre,s:epilogues
episode,'episәud,"n. 插曲, 插话, 有趣的事件, 一段情节\n[医] 插话, 插曲, 发作",cet4 cet6 ky toefl ielts gre,s:episodes
episodic,.epi'sɒdik,a. 插曲似的,gre,
epitaph,'epitɑ:f,"n. 墓志铭, 碑文",gre,s:epitaphs
epithet,'epiθet,"n. 浑名, 绰号, 称号",gre,s:epithets
epitome,i'pitәmi,"n. 概要, 缩影, 象征",gre,s:epitomes
epitomize,i'pitәmaiz,"vt. 摘要, 概括",gre,d:epitomized/3:epitomizes/p:epitomized/i:epitomizing
epoch,'i:pɒk,"n. 新纪元, 时代, 时期",cet6 ky toefl ielts gre,s:epochs
equable,'ekwәbl,"a. 平静的, 变动小的",gre,
equal,'i:kwәl,"n. 对手, 匹敌, 同辈\na. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的\nvt. 等于, 比得上\n[计] 等长度编码",gk cet4 cet6 ky toefl ielts,3:equals/s:equals/d:equalled/p:equalled/i:equalling
equality,i:'kwɒliti,"n. 平等, 均匀, 相等\n[法] 同等, 平等, 相等",gk cet4 cet6 ky toefl,s:equalities
equanimity,.i:kwә'nimiti,"n. 平静, 镇定, 沉着",gre,
equate,i'kweit,"vt. 使相等, 视为平等\nvi. 等同",cet6 toefl gre,d:equated/3:equates/i:equating/p:equated
equation,i'kweiʃәn,"n. 相等, 等式, 平衡\n[化] 方程式; 等式; 反应式; 公式",cet4 cet6 ky toefl ielts gre,s:equations
equator,i'kweitә,"n. 赤道\n[医] 赤道, 中纬线",cet6 ky toefl ielts gre,s:equators
equestrian,i'kwestriәn,"a. 骑术的, 马的, 骑在马背上的\nn. 骑手",toefl gre,s:equestrians
equilibrium,.i:kwi'libriәm,"n. 平衡, 平静, 均衡\n[化] 平衡",cet6 toefl ielts gre,
equine,'i:kwain,"n. 马\na. 马的, 象马的",gre,s:equines
equip,i'kwip,"vt. 装备, 配备\n[机] 设备, 装置",gk cet4 cet6 ky toefl,d:equipped/i:equipping/p:equipped/3:equips
equipe,e'kɪp,n. <法>运动队（或比赛队）及其装备,cet6,d:equiped
equipment,i'kwipmәnt,"n. 装备, 设备, 才能\n[化] 设备; 装备; 装置",gk cet4 cet6 ky toefl ielts,s:equipments
equitable,'ekwitәbl,"a. 公平的, 公正的\n[法] 公平的, 公正的, 平衡法的",toefl ielts,
equity,'ekwiti,"n. 公平, 公正\n[经] 权益, 产权",ielts gre,s:equities
equivalent,i'kwivәlәnt,"n. 同等物, 等价物, 相等物\na. 相等的, 相当的, 同意义的\n[计] 等价的",cet4 cet6 ky toefl ielts gre,s:equivalents
equivocal,i'kwivәkl,"a. 意义不明确的, 模棱两可的\n[医] 双关的, 两可的",toefl ielts,
equivocate,i'kwivәkeit,"vi. 说模棱两可的话, 支吾",toefl gre,p:equivocated/s:equivocates/d:equivocated/i:equivocating/3:equivocates
equivocation,i.kwivә'keiʃәn,"n. 模棱两可的话, 含糊话\n[电] 等业",gre,s:equivocations
era,'iәrә,"n. 时代, 纪元, 时期",cet4 cet6 ky toefl,s:eras
eradicate,i'rædikeit,"vt. 根除, 扑灭, 根绝, 消灭",cet6 toefl ielts gre,d:eradicated/i:eradicating/3:eradicates/p:eradicated
erase,i'reis,"vt. 抹去, 擦掉\n[计] 清洗; 擦除; 抹除; DOS内部命令:从磁盘上删除一个或多个文件",ky toefl ielts gre,d:erased/p:erased/i:erasing/3:erases
eraser,i'reisә,n. 擦子,zk gk,s:erasers
erasure,i'reiʃә,"n. 擦除, 抹掉\n[电] 擦掉",gre,s:erasures
erect,i'rekt,"a. 直立的, 竖立的, 笔直的\nvt. 使竖立, 使直立, 树立, 建立\nvi. 勃起",cet4 cet6 ky toefl ielts gre,d:erected/p:erected/i:erecting/3:erects
erode,i'rәud,"vt. 腐蚀, 侵蚀\nvi. 受腐蚀",toefl,d:eroded/p:eroded/3:erodes/i:eroding
erosion,i'rәuʒәn,"n. 腐蚀, 冲蚀, 侵蚀\n[化] 磨耗; 侵蚀",cet6 ky toefl ielts,s:erosions
err,ә:,"vi. 犯错, 做错, 犯罪\n[法] 弄错, 犯错误, 陈述",toefl gre,d:erred/p:erred/3:errs/i:erring
errand,'erәnd,"n. 任务, 差使, 使命",cet6 ielts gre,s:errands
erratic,i'rætik,"n. 古怪的人, 漂泊无定的人\na. 不稳定的, 奇怪的",toefl ielts gre,s:erratics
erratically,i'rætikәli,"adv. 不规律地, 不定地",toefl,
erroneous,i'rәuniәs,"a. 错误的, 不正确的\n[法] 错误的, 不正确的",cet6 ky toefl ielts,
error,'erә,"n. 错误, 过失, 失误, 误差\n[计] 错误",gk cet4 cet6 ky toefl,s:errors
ersatz,eә'zɑ:tz,n. 代用品,gre,
erstwhile,'ә:stwail,"adv. 以前, 往昔地\na. 以前的, 往昔的",gre,
erudite,'eru:dait,a. 博学的\nn. 博学者,toefl gre,
erupt,i'rʌpt,vi. 爆发\nvt. 喷出,gk cet6 ky toefl ielts gre,p:erupted/d:erupted/3:erupts/i:erupting
eruption,i'rʌpʃәn,"n. 爆发, 喷出物, 出疹\n[化] 喷发",cet6 toefl,s:eruptions
escalate,'eskәleit,"vi. 逐步扩大, 逐步升高, 逐步增强\nvt. 使逐步上升",ky toefl ielts gre,d:escalated/3:escalates/p:escalated/i:escalating
escalation,.eskә'leiʃәn,"n. 扩大, 增加\n[经] 调查, 价格调整",gre,s:escalations
escalator,'eskәleitә,"n. 电动扶梯, 自动扶梯\n[机] 升降阶梯",toefl ielts,s:escalators
